"query","page","country","countryName","clicks","impressions","ctr","position"
"aventuras","http://www.pasonoroeste.com/","esp","Spain",0,1,0,1
"vacunas nepal ministerio sanidad","http://www.pasonoroeste.com/viajes/a/Nepal/971/salud.html","esp","Spain",0,2,0,9
"viajar a oman","http://www.pasonoroeste.com/viajes/a/Oman/994/enlaces.html","esp","Spain",0,1,0,27
"itinerarios de viaje a vietnam","http://www.pasonoroeste.com/viajes/a/Vietnam/982/viaje.html","esp","Spain",0,2,0,18.5
"norte noroeste","http://www.pasonoroeste.com/","esp","Spain",0,1,0,11
"itinerarios de viaje a nepal","http://www.pasonoroeste.com/viajes/a/Nepal/1211/viaje.html","esp","Spain",0,1,0,14
"noroeste","http://www.pasonoroeste.com/","esp","Spain",0,9,0,3.33333333333333
"empresa noroeste","http://www.pasonoroeste.com/","esp","Spain",0,1,0,1
"de paso","http://www.pasonoroeste.com/","esp","Spain",0,2,0,1
"fotos de uganda","http://www.pasonoroeste.com/viajes/a/Uganda/928/galeria.html","esp","Spain",0,3,0,6
"viaje organizado filipinas","http://www.pasonoroeste.com/viajes/a/Filipinas/1003/decalogo.html","esp","Spain",0,1,0,13
"viajes jordania","http://www.pasonoroeste.com/viaje/a/Jordania.html","esp","Spain",0,2,0,28
"pasodelnoroeste","http://www.pasonoroeste.com/","esp","Spain",0,26,0,10.8846153846154
"maec myanmar","http://www.pasonoroeste.com/viajes/a/Myanmar/1129/enlaces.html","esp","Spain",0,1,0,10
"tuymas","http://www.pasonoroeste.com/","esp","Spain",0,3,0,11
"agencia paso a paso","http://www.pasonoroeste.com/","esp","Spain",0,1,0,2
"paso del","http://www.pasonoroeste.com/","esp","Spain",0,2,0,6
"viajar a georgia","http://www.pasonoroeste.com/viajes/a/Georgia/937/salud.html","esp","Spain",0,3,0,38
"el paso noroeste","http://www.pasonoroeste.com/viaje/a/Jordania.html","esp","Spain",0,4,0,1
"paso noroeste viajes","http://www.pasonoroeste.com/","esp","Spain",0,13,0,8
"ruta del noroeste","http://www.pasonoroeste.com/","esp","Spain",0,2,0,11
"fotos de namibia","http://www.pasonoroeste.com/viajes/a/Namibia/1133/galeria.html","esp","Spain",0,1,0,9
"elpasodelnoroeste","http://www.pasonoroeste.com/","esp","Spain",0,12,0,8
"el paso noroeste","http://www.pasonoroeste.com/","esp","Spain",0,19,0,8
"paso noroeste foro","http://www.pasonoroeste.com/foros/viewtopic.php?t=9942","esp","Spain",0,4,0,3.25
"turismo de aventura","http://www.pasonoroeste.com/","esp","Spain",0,1,0,1
"dukoral precio","http://www.pasonoroeste.com/foros/viewtopic.php?t=2788","esp","Spain",0,2,0,24
"viajes norte","http://www.pasonoroeste.com/","esp","Spain",0,4,0,1
"oman fotos","http://www.pasonoroeste.com/viajes/a/Oman/994/galeria.html","esp","Spain",0,5,0,7
"del paso","http://www.pasonoroeste.com/","esp","Spain",0,3,0,4.33333333333333
"transportes noroeste","http://www.pasonoroeste.com/","esp","Spain",0,1,0,1
"viajar a jordania","http://www.pasonoroeste.com/viaje/a/Jordania.html","esp","Spain",0,2,0,47.5
"recomendaciones para viajar a china","http://www.pasonoroeste.com/viajes/a/China/1176/salud.html","esp","Spain",0,2,0,26.5
"turismo y aventura","http://www.pasonoroeste.com/","esp","Spain",0,2,0,1.5
"ruta por iran","http://www.pasonoroeste.com/viajes/a/Iran/1019/viaje.html","esp","Spain",0,1,0,27
"viajes alternativos","http://www.pasonoroeste.com/","esp","Spain",0,33,0,3.60606060606061
"agencias de viajes alternativos","http://www.pasonoroeste.com/","esp","Spain",0,1,0,1
"viajar al norte","http://www.pasonoroeste.com/","esp","Spain",0,1,0,1
"el paso del noroeste","http://www.pasonoroeste.com/foros/index.php","esp","Spain",0,1,0,3
"paso del noroeste viajes","http://www.pasonoroeste.com/","esp","Spain",0,9,0,8
"viajes noroeste","http://www.pasonoroeste.com/viaje/a/Jordania.html","esp","Spain",0,14,0,1
"hola apm","http://www.pasonoroeste.com/foros/viewtopic.php?t=9477","esp","Spain",0,1,0,28
"fotos de oman","http://www.pasonoroeste.com/viajes/a/Oman/994/galeria.html","esp","Spain",0,2,0,7.5
"paso noreste","http://www.pasonoroeste.com/","esp","Spain",0,32,0,8.0625
"noroes","http://www.pasonoroeste.com/","esp","Spain",0,1,0,2
"fotos de sudafrica","http://www.pasonoroeste.com/viajes/a/Sudafrica/1116/galeria.html","esp","Spain",0,1,0,10
"paso del noreste","http://www.pasonoroeste.com/","esp","Spain",0,4,0,11
"foro snorkel","http://www.pasonoroeste.com/foros/viewtopic.php?t=10964","esp","Spain",0,1,0,6
"uzbekistan fotos","http://www.pasonoroeste.com/viajes/a/Uzbekistan/978/galeria.html","esp","Spain",0,2,0,8
"mochils","http://www.pasonoroeste.com/foros/viewtopic.php?t=7979","esp","Spain",0,1,0,7
"noroest","http://www.pasonoroeste.com/","esp","Spain",0,2,0,2
"viajes a jordania","http://www.pasonoroeste.com/viaje/a/Jordania.html","esp","Spain",0,7,0,35.5714285714286
"viajes paso del noroeste","http://www.pasonoroeste.com/","esp","Spain",0,11,0,8
"itinerario iran","http://www.pasonoroeste.com/viajes/a/Iran/1019/viaje.html","esp","Spain",0,2,0,10
"viajes aventura grupo","http://www.pasonoroeste.com/","esp","Spain",0,1,0,5
"agencia viajes alternativos","http://www.pasonoroeste.com/","esp","Spain",0,1,0,1
"viajar aventura","http://www.pasonoroeste.com/","esp","Spain",0,2,0,1
"neobianacid opiniones","http://www.pasonoroeste.com/foros/viewtopic.php?t=9586","esp","Spain",0,1,0,62
"vuelo nepal","http://www.pasonoroeste.com/foros/viewtopic.php?t=10177","esp","Spain",0,1,0,49
"viajes paso noroeste","http://www.pasonoroeste.com/viaje/a/Jordania.html","esp","Spain",0,12,0,1
"viaje maldivas","http://www.pasonoroeste.com/viajes/a/Sri-Lanka-Y-Maldivas/1085/viaje.html","esp","Spain",0,2,0,46.5
"paso norte viajes","http://www.pasonoroeste.com/","esp","Spain",0,10,0,11
"pasonorte","http://www.pasonoroeste.com/","esp","Spain",0,7,0,11
"consulado de uzbekistan en madrid","http://www.pasonoroeste.com/viajes/a/Uzbekistan/978/enlaces.html","esp","Spain",0,1,0,30
"foro maldivas","http://www.pasonoroeste.com/foros/viewtopic.php?t=9978","esp","Spain",0,2,0,17
"viaje de aventura","http://www.pasonoroeste.com/","esp","Spain",0,1,0,2
"noroeste viajes","http://www.pasonoroeste.com/","esp","Spain",0,5,0,7.6
"recomendaciones malasia","http://www.pasonoroeste.com/viajes/a/Malasia/1017/salud.html","esp","Spain",0,1,0,21
"paso de","http://www.pasonoroeste.com/","esp","Spain",0,1,0,1
"viaje a escocia organizado","http://www.pasonoroeste.com/viajes/a/Escocia/1072/decalogo.html","esp","Spain",0,1,0,76
"paso noroeste foro","http://www.pasonoroeste.com/foros/index.php","esp","Spain",0,6,0,1
"itinerario europa","http://www.pasonoroeste.com/viajes/a/Europa-Del-Este/956/viaje.html","esp","Spain",0,1,0,13
"consulado general de españa en moscu","http://www.pasonoroeste.com/viajes/a/Uzbekistan/1168/enlaces.html","esp","Spain",0,1,0,48
"viajes a venezuela","http://www.pasonoroeste.com/viaje/a/Venezuela.html","esp","Spain",0,1,0,33
"neveras para coche","http://www.pasonoroeste.com/foros/viewtopic.php?f=620&t=10897","esp","Spain",0,17,0,35.1764705882353
"viajes de aventura","http://www.pasonoroeste.com/","esp","Spain",0,23,0,8.91304347826087
"agencias de viajes diferentes","http://www.pasonoroeste.com/","esp","Spain",0,2,0,1
"ruta noroeste","http://www.pasonoroeste.com/","esp","Spain",0,1,0,11
"www.pasonoroeste","http://www.pasonoroeste.com/","esp","Spain",0,1,0,8
"enchufes iran","http://www.pasonoroeste.com/ver/viaje/a/Iran.html","esp","Spain",0,5,0,8
"foros hola","http://www.pasonoroeste.com/foros/viewtopic.php?t=9659","esp","Spain",0,1,0,19
"viaje aventura","http://www.pasonoroeste.com/","esp","Spain",0,19,0,4.73684210526316
"fotos de centroamerica","http://www.pasonoroeste.com/viajes/a/Centroamerica/1124/galeria.html","esp","Spain",0,1,0,4
"agencias viajes alternativos","http://www.pasonoroeste.com/","esp","Spain",0,2,0,2
"fotos de laos","http://www.pasonoroeste.com/viajes/a/Laos/981/galeria.html","esp","Spain",0,1,0,6
"pasos del noroeste","http://www.pasonoroeste.com/","esp","Spain",0,17,0,8
"paso noroeste viajes","http://www.pasonoroeste.com/viaje/a/Jordania.html","esp","Spain",0,5,0,1
"alojamiento en maldivas","http://www.pasonoroeste.com/foros/viewtopic.php?t=9978","esp","Spain",0,1,0,39
"fotos de uzbekistan","http://www.pasonoroeste.com/viajes/a/Uzbekistan/978/galeria.html","esp","Spain",0,5,0,8
"paso de noroeste","http://www.pasonoroeste.com/","esp","Spain",0,13,0,11
