query,page,country,countryName,clicks,impressions,ctr,position
pasojunior,http://www.pasonoroeste.com/,esp,Spain,0,8,0,8
pasonoroeste viajes,http://www.pasonoroeste.com/,esp,Spain,0,11,0,8
pasonorte,http://www.pasonoroeste.com/,esp,Spain,0,5,0,11
pasos del noroeste,http://www.pasonoroeste.com/,esp,Spain,0,13,0,8
punto noroeste,http://www.pasonoroeste.com/,esp,Spain,0,2,0,3
recuerdos de viaje,http://www.pasonoroeste.com/,esp,Spain,0,1,0,5
taranna,http://www.pasonoroeste.com/,esp,Spain,0,2,0,2
un paso al noroeste,http://www.pasonoroeste.com/,esp,Spain,0,19,0,10.68421052631579
viajes a pakistan,http://www.pasonoroeste.com/,esp,Spain,0,1,0,5
viajes alternativos,http://www.pasonoroeste.com/,esp,Spain,0,1,0,4
viajes alternativos economicos,http://www.pasonoroeste.com/,esp,Spain,0,4,0,5.75
viajes el paso,http://www.pasonoroeste.com/,esp,Spain,0,3,0,11
viajes noroeste,http://www.pasonoroeste.com/,esp,Spain,0,15,0,13.6
viajes paso del noroeste,http://www.pasonoroeste.com/,esp,Spain,0,12,0,23.083333333333332
viajes paso junior,http://www.pasonoroeste.com/,esp,Spain,0,4,0,8
viajes paso noroeste,http://www.pasonoroeste.com/,esp,Spain,0,25,0,15.28
